Indicador,Atual,2023,2022,2021,2020,2019,ticker
P/ATIVO CIRC LIQ,-023,-033,-050,-152,-358,-429,QUAL3
VPA,464,447,474,446,593,502,QUAL3
LPA,-029,-029,033,129,138,138,QUAL3
GIRO ATIVOS,037,039,043,048,046,060,QUAL3
ROE,"-6,17%","-6,49%","6,89%","28,89%","23,29%","27,55%",QUAL3
ROIC,"4,93%","1,86%","8,80%","13,16%","14,90%","15,58%",QUAL3
ROA,"-0,25%","-1,67%","2,25%","8,57%","8,97%","11,74%",QUAL3
DÍVIDA LÍQUIDA / EBITDA,176,211,198,147,063,085,QUAL3
DÍVIDA LÍQUIDA / EBIT,651,1064,427,231,100,139,QUAL3
DÍVIDA BRUTA / PATRIMÔNIO,147,176,168,176,080,093,QUAL3
PATRIMÔNIO / ATIVOS,030,028,030,029,038,043,QUAL3
PASSIVOS / ATIVOS,070,071,070,071,062,089,QUAL3
LIQUIDEZ CORRENTE,113,124,178,048,143,060,QUAL3
CAGR RECEITAS 5 ANOS,"-4,27%","-1,96%","-1,22%","1,31%","3,21%","6,05%",QUAL3
CAGR LUCROS 5 ANOS,-,-%,"-23,44%","-2,15%","10,41%","22,49%",QUAL3
P/L,-4941,-4540,-4749,15721,14685,11338,HAPV3
P/RECEITA (PSR),091,123,161,792,1345,1710,HAPV3
P/VP,042,068,079,740,1469,1327,HAPV3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,60%","0,43%","0,43%",HAPV3
PAYOUT,-,"0,00%","-5,02%","312,29%","63,81%","54,29%",HAPV3
MARGEM LÍQUIDA,"-1,85%","-2,70%","-3,40%","5,04%","9,16%","15,08%",HAPV3
MARGEM BRUTA,"23,72%","25,81%","23,81%","31,02%","39,11%","39,65%",HAPV3
MARGEM EBIT,"3,48%","2,49%","-0,66%","5,50%","14,81%","18,34%",HAPV3
MARGEM EBITDA,"11,24%","9,48%","7,69%","13,68%","22,67%","20,89%",HAPV3
EV/EBITDA,961,1466,2488,6200,6039,8367,HAPV3
EV/EBIT,3108,5590,-29139,15435,9244,9528,HAPV3
P/EBITDA,814,1292,2098,5787,5932,8188,HAPV3
P/EBIT,2630,4926,-24572,14405,9080,9323,HAPV3
P/ATIVO,027,045,052,372,851,774,HAPV3
P/CAP.GIRO,751,1687,8374,58516,8328,-7498,HAPV3
P/ATIVO CIRC LIQ,-031,-052,-059,-442,-1148,-936,HAPV3
VPA,646,651,647,140,104,482,HAPV3
LPA,-005,-010,-011,007,010,056,HAPV3
GIRO ATIVOS,030,036,032,047,063,045,HAPV3
ROE,"-0,84%","-1,51%","-1,65%","4,71%","10,01%","11,70%",HAPV3
ROIC,"1,28%","1,01%","-1,37%","3,31%","9,28%","8,06%",HAPV3
ROA,"-0,56%","-0,98%","-1,06%","2,38%","5,81%","6,84%",HAPV3
DÍVIDA LÍQUIDA / EBITDA,148,174,390,414,107,179,HAPV3
DÍVIDA LÍQUIDA / EBIT,478,664,-4567,1030,164,204,HAPV3
DÍVIDA BRUTA / PATRIMÔNIO,023,023,024,053,027,029,HAPV3
PATRIMÔNIO / ATIVOS,066,065,067,050,058,058,HAPV3
PASSIVOS / ATIVOS,034,035,033,050,042,055,HAPV3
LIQUIDEZ CORRENTE,139,123,106,104,165,063,HAPV3
CAGR RECEITAS 5 ANOS,"31,43%","43,02%","43,91%",-%,-%,-%,HAPV3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,HAPV3
P/L,1697,2968,5483,6515,36504,000,RDOR3
P/RECEITA (PSR),126,141,295,504,1115,000,RDOR3
P/VP,256,292,310,756,1207,000,RDOR3
DIVIDEND YIELD (DY),"2,29%","1,28%","1,37%","3,26%","0,00%","0,00%",RDOR3
PAYOUT,"39,07%","38,12%","75,13%","212,12%","0,00%","0,00%",RDOR3
MARGEM LÍQUIDA,"7,42%","4,74%","5,37%","7,73%","3,05%","8,07%",RDOR3
MARGEM BRUTA,"18,60%","17,06%","22,63%","23,60%","18,30%","25,42%",RDOR3
MARGEM EBIT,"14,56%","10,60%","16,96%","18,00%","11,67%","19,79%",RDOR3
MARGEM EBITDA,"17,52%","14,33%","23,07%","24,03%","17,69%","28,77%",RDOR3
EV/EBITDA,725,1024,1325,2660,7265,540,RDOR3
EV/EBIT,872,1385,1802,3551,11012,786,RDOR3
P/EBITDA,719,982,1277,2096,6300,000,RDOR3
P/EBIT,865,1327,1737,2798,9550,000,RDOR3
P/ATIVO,064,073,073,196,342,000,RDOR3
P/CAP.GIRO,199,228,272,613,842,000,RDOR3
P/ATIVO CIRC LIQ,-126,-139,-133,-335,-673,000,RDOR3
VPA,1069,985,953,593,566,220,RDOR3
LPA,161,097,054,069,019,035,RDOR3
GIRO ATIVOS,051,052,025,039,031,037,RDOR3
ROE,"15,08%","9,84%","5,66%","11,60%","3,31%","15,89%",RDOR3
ROIC,"10,51%","7,67%","6,48%","8,04%","4,37%","7,11%",RDOR3
ROA,"3,87%","2,54%","1,36%","3,20%","1,01%","3,06%",RDOR3
DÍVIDA LÍQUIDA / EBITDA,006,043,048,564,965,540,RDOR3
DÍVIDA LÍQUIDA / EBIT,007,058,065,753,1462,786,RDOR3
DÍVIDA BRUTA / PATRIMÔNIO,146,153,151,204,185,306,RDOR3
PATRIMÔNIO / ATIVOS,025,025,024,026,028,019,RDOR3
PASSIVOS / ATIVOS,073,074,075,072,069,080,RDOR3
LIQUIDEZ CORRENTE,289,303,249,425,581,361,RDOR3
CAGR RECEITAS 5 ANOS,"38,08%",-%,-%,-%,-%,-%,RDOR3
CAGR LUCROS 5 ANOS,"35,98%",-%,-%,-%,-%,-%,RDOR3
P/L,2154,7994,-2755,-3541,000,,ORVR3
P/RECEITA (PSR),395,413,449,512,000,,ORVR3
P/VP,439,454,510,627,000,,ORVR3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%",,ORVR3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%",,ORVR3
MARGEM LÍQUIDA,"18,34%","5,17%","-16,29%","-14,47%","4,38%",,ORVR3
MARGEM BRUTA,"43,87%","31,91%","30,00%","41,08%","37,60%",,ORVR3
MARGEM EBIT,"30,83%","24,44%","13,70%","18,30%","26,48%",,ORVR3
MARGEM EBITDA,"46,88%","45,78%","35,46%","30,53%","20,45%",,ORVR3
EV/EBITDA,1143,1138,1647,2094,387,,ORVR3
EV/EBIT,1738,2131,4260,3495,299,,ORVR3
P/EBITDA,843,902,1265,1678,000,,ORVR3
P/EBIT,1282,1690,3274,2800,000,,ORVR3
P/ATIVO,104,142,136,185,000,,ORVR3
P/CAP.GIRO,618,960,1092,539,000,,ORVR3
P/ATIVO CIRC LIQ,-156,-192,-188,-370,000,,ORVR3
VPA,945,851,664,429,081,,ORVR3
LPA,193,048,-123,-076,021,,ORVR3
GIRO ATIVOS,026,034,030,036,058,,ORVR3
ROE,"20,40%","5,68%","-18,53%","-17,72%","25,36%",,ORVR3
ROIC,"9,31%","9,23%","2,50%","4,79%","20,63%",,ORVR3
ROA,"5,26%","2,22%","-5,55%","-4,60%","3,69%",,ORVR3
DÍVIDA LÍQUIDA / EBITDA,300,235,381,416,387,,ORVR3
DÍVIDA LÍQUIDA / EBIT,456,441,986,694,299,,ORVR3
DÍVIDA BRUTA / PATRIMÔNIO,242,159,184,156,482,,ORVR3
PATRIMÔNIO / ATIVOS,024,031,027,029,010,,ORVR3
PASSIVOS / ATIVOS,074,067,072,069,088,,ORVR3
LIQUIDEZ CORRENTE,200,229,180,319,078,,ORVR3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,-%,,ORVR3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,,ORVR3
P/L,-174,-621,-2671,-11210,-36190,34819,DASA3
P/RECEITA (PSR),011,051,079,244,775,995,DASA3
P/VP,018,099,146,337,1543,1328,DASA3
DIVIDEND YIELD (DY),-,"0,00%","0,71%","1,74%","0,00%","0,98%",DASA3
PAYOUT,"-8,06%","-6,26%","-58,61%","-94,83%","-281,25%","338,62%",DASA3
MARGEM LÍQUIDA,"-6,05%","-8,18%","-2,95%","-2,17%","-2,14%","2,86%",DASA3
MARGEM BRUTA,"26,62%","27,66%","28,93%","29,92%","24,94%","35,43%",DASA3
MARGEM EBIT,"7,69%","7,34%","7,74%","0,85%","2,37%","9,13%",DASA3
MARGEM EBITDA,"16,47%","15,51%","16,21%","9,77%","13,24%","19,56%",DASA3
EV/EBITDA,418,733,880,2890,6265,5316,DASA3
EV/EBIT,895,1549,1841,33253,35066,11397,DASA3
P/EBITDA,064,328,486,2494,5855,5088,DASA3
P/EBIT,137,692,1017,28697,32770,10908,DASA3
P/ATIVO,006,028,039,109,409,491,DASA3
P/CAP.GIRO,042,521,664,-30922,4557,6099,DASA3
P/ATIVO CIRC LIQ,-008,-038,-054,-155,-598,-662,DASA3
VPA,1145,974,940,1002,470,435,DASA3
LPA,-120,-155,-051,-030,-020,017,DASA3
GIRO ATIVOS,053,054,049,045,053,049,DASA3
ROE,"-10,51%","-15,91%","-5,47%","-3,00%","-4,26%","3,81%",DASA3
ROIC,"5,24%","5,09%","4,16%","-0,45%","1,07%","6,39%",DASA3
ROA,"-3,03%","-4,31%","-1,44%","-0,93%","-1,11%","1,47%",DASA3
DÍVIDA LÍQUIDA / EBITDA,354,406,394,396,410,228,DASA3
DÍVIDA LÍQUIDA / EBIT,758,857,825,4556,2296,489,DASA3
DÍVIDA BRUTA / PATRIMÔNIO,134,145,162,101,151,086,DASA3
PATRIMÔNIO / ATIVOS,030,028,026,032,027,037,DASA3
PASSIVOS / ATIVOS,069,072,074,068,073,063,DASA3
LIQUIDEZ CORRENTE,165,125,125,099,140,146,DASA3
CAGR RECEITAS 5 ANOS,"27,96%","29,37%","31,03%","27,93%","20,30%","10,10%",DASA3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,"9,52%",DASA3
P/L,-054,-059,-056,-631,,,KRSA3
P/RECEITA (PSR),002,004,003,032,,,KRSA3
P/VP,006,010,005,032,,,KRSA3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%",,,KRSA3
PAYOUT,-,"0,00%","0,00%","0,00%",,,KRSA3
MARGEM LÍQUIDA,"-4,42%","-7,51%","-5,26%","-5,05%",,,KRSA3
MARGEM BRUTA,"20,00%","20,99%","23,84%","25,57%",,,KRSA3
MARGEM EBIT,"12,91%","12,79%","13,22%","10,53%",,,KRSA3
MARGEM EBITDA,"19,96%","19,51%","17,53%","14,06%",,,KRSA3
EV/EBITDA,590,564,473,954,,,KRSA3
EV/EBIT,912,860,628,1274,,,KRSA3
P/EBITDA,012,023,017,227,,,KRSA3
P/EBIT,018,035,022,303,,,KRSA3
P/ATIVO,001,002,001,010,,,KRSA3
P/CAP.GIRO,015,015,009,136,,,KRSA3
P/ATIVO CIRC LIQ,006,-003,-002,-014,,,KRSA3
VPA,11858,1276,1471,1617,,,KRSA3
LPA,-1302,-220,-139,-082,,,KRSA3
GIRO ATIVOS,048,048,043,032,,,KRSA3
ROE,"-10,98%","-17,21%","-9,46%","-5,09%",,,KRSA3
ROIC,"7,31%","7,10%","7,47%","2,56%",,,KRSA3
ROA,"-1,74%","-3,36%","-2,00%","-1,39%",,,KRSA3
DÍVIDA LÍQUIDA / EBITDA,578,541,457,727,,,KRSA3
DÍVIDA LÍQUIDA / EBIT,894,825,606,972,,,KRSA3
DÍVIDA BRUTA / PATRIMÔNIO,306,278,213,135,,,KRSA3
PATRIMÔNIO / ATIVOS,019,021,024,032,,,KRSA3
PASSIVOS / ATIVOS,078,077,074,066,,,KRSA3
LIQUIDEZ CORRENTE,139,193,210,142,,,KRSA3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,,,KRSA3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,,,KRSA3
P/L,-753,-540,-1122,-31454,-1348,5200,AALR3
P/RECEITA (PSR),103,104,236,156,141,200,AALR3
P/VP,108,134,269,151,110,168,AALR3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,79%","0,47%",AALR3
PAYOUT,-,"0,00%","0,00%","0,00%","-10,60%","24,20%",AALR3
MARGEM LÍQUIDA,"-13,69%","-19,32%","-21,01%","-0,50%","-10,49%","3,85%",AALR3
MARGEM BRUTA,"30,37%","30,93%","30,00%","31,33%","17,80%","26,55%",AALR3
MARGEM EBIT,"5,47%","3,30%","-2,96%","7,76%","-0,98%","13,30%",AALR3
MARGEM EBITDA,"13,28%","11,19%","7,90%","18,28%","11,85%","19,26%",AALR3
EV/EBITDA,1131,1558,3936,1165,1706,1294,AALR3
EV/EBIT,2747,5288,-10522,2745,-20567,1875,AALR3
P/EBITDA,777,932,2983,852,1193,1040,AALR3
P/EBIT,1886,3163,-7975,2008,-14382,1506,AALR3
P/ATIVO,047,046,098,070,052,089,AALR3
P/CAP.GIRO,-856,-586,-1316,-1767,1420,-833,AALR3
P/ATIVO CIRC LIQ,-058,-057,-120,-086,-067,-108,AALR3
VPA,970,776,803,994,1006,1084,AALR3
LPA,-139,-193,-193,-005,-082,035,AALR3
GIRO ATIVOS,046,044,041,045,037,045,AALR3
ROE,"-14,37%","-24,84%","-23,99%","-0,48%","-8,18%","3,22%",AALR3
ROIC,"3,01%","1,01%","-2,34%","4,49%","-1,44%","6,70%",AALR3
ROA,"-5,88%","-8,19%","-8,35%","0,08%","-3,64%","2,09%",AALR3
DÍVIDA LÍQUIDA / EBITDA,355,626,953,313,513,255,AALR3
DÍVIDA LÍQUIDA / EBIT,861,2125,-2547,737,-6186,369,AALR3
DÍVIDA BRUTA / PATRIMÔNIO,064,114,109,066,067,048,AALR3
PATRIMÔNIO / ATIVOS,044,034,036,046,047,053,AALR3
PASSIVOS / ATIVOS,055,065,062,052,052,056,AALR3
LIQUIDEZ CORRENTE,077,071,071,083,119,062,AALR3
CAGR RECEITAS 5 ANOS,"2,34%","1,84%","0,12%","3,62%",-%,-%,AALR3
CAGR LUCROS 5 ANOS,-,-%,-%,"-41,39%",-%,-%,AALR3
P/L,279,400,439,772,378,8779,POSI3
P/RECEITA (PSR),017,025,027,046,033,075,POSI3
P/VP,044,062,095,131,070,272,POSI3
DIVIDEND YIELD (DY),"8,22%","7,39%","3,62%","3,13%","0,63%","0,00%",POSI3
PAYOUT,"22,80%","29,55%","15,92%","24,14%","2,38%","0,00%",POSI3
MARGEM LÍQUIDA,"6,12%","6,28%","6,07%","5,95%","8,71%","0,86%",POSI3
MARGEM BRUTA,"25,18%","27,06%","23,97%","22,84%","20,47%","25,07%",POSI3
MARGEM EBIT,"11,09%","12,95%","12,52%","9,01%","12,67%","5,16%",POSI3
MARGEM EBITDA,"12,45%","14,38%","13,68%","10,14%","14,72%","6,87%",POSI3
EV/EBITDA,283,315,419,717,460,1640,POSI3
EV/EBIT,318,350,458,807,535,2182,POSI3
P/EBITDA,137,175,195,453,224,1098,POSI3
P/EBIT,154,194,213,510,260,1462,POSI3
P/ATIVO,017,022,032,041,026,074,POSI3
P/CAP.GIRO,043,060,080,131,086,493,POSI3
P/ATIVO CIRC LIQ,-054,-098,-173,-244,-118,-305,POSI3
VPA,1164,1119,985,829,725,375,POSI3
LPA,183,174,214,141,135,012,POSI3
GIRO ATIVOS,100,086,119,090,078,098,POSI3
ROE,"15,75%","15,54%","21,71%","17,03%","18,58%","3,09%",POSI3
ROIC,"16,38%","16,99%","21,33%","14,34%","11,23%","7,35%",POSI3
ROA,"6,17%","5,48%","7,29%","6,48%","6,93%","1,07%",POSI3
DÍVIDA LÍQUIDA / EBITDA,146,141,224,264,236,541,POSI3
DÍVIDA LÍQUIDA / EBIT,164,156,245,297,275,720,POSI3
DÍVIDA BRUTA / PATRIMÔNIO,072,087,110,077,074,134,POSI3
PATRIMÔNIO / ATIVOS,039,035,033,031,036,027,POSI3
PASSIVOS / ATIVOS,061,065,067,069,063,073,POSI3
LIQUIDEZ CORRENTE,238,185,193,161,161,125,POSI3
CAGR RECEITAS 5 ANOS,"17,27%","15,01%","21,15%","14,02%","3,53%","-3,86%",POSI3
CAGR LUCROS 5 ANOS,"66,04%",-%,-%,"94,06%",-%,"-2,17%",POSI3
P/L,-214,-205,3676,768,,,MLAS3
P/RECEITA (PSR),029,049,075,123,,,MLAS3
P/VP,031,053,082,148,,,MLAS3
DIVIDEND YIELD (DY),-,"0,00%","3,05%","0,00%",,,MLAS3
PAYOUT,-,"0,00%","112,23%","0,00%",,,MLAS3
MARGEM LÍQUIDA,"-13,61%","-23,90%","2,05%","15,98%",,,MLAS3
MARGEM BRUTA,"14,67%","5,46%","25,95%","27,99%",,,MLAS3
MARGEM EBIT,"-10,50%","-20,76%","4,23%","16,06%",,,MLAS3
MARGEM EBITDA,"-8,49%","-18,82%","5,58%","16,85%",,,MLAS3
EV/EBITDA,-302,-226,1576,850,,,MLAS3
EV/EBIT,-244,-205,2079,892,,,MLAS3
P/EBITDA,-343,-260,1352,728,,,MLAS3
P/EBIT,-278,-236,1784,764,,,MLAS3
P/ATIVO,019,031,048,089,,,MLAS3
P/CAP.GIRO,039,061,100,163,,,MLAS3
P/ATIVO CIRC LIQ,-068,-119,-244,-610,,,MLAS3
VPA,377,392,494,489,,,MLAS3
LPA,-054,-102,011,094,,,MLAS3
GIRO ATIVOS,064,064,064,073,,,MLAS3
ROE,"-14,39%","-25,99%","2,22%","19,33%",,,MLAS3
ROIC,"-9,89%","-18,80%","2,54%","15,44%",,,MLAS3
ROA,"-8,65%","-15,32%","1,31%","11,60%",,,MLAS3
DÍVIDA LÍQUIDA / EBITDA,041,034,224,122,,,MLAS3
DÍVIDA LÍQUIDA / EBIT,033,031,295,128,,,MLAS3
DÍVIDA BRUTA / PATRIMÔNIO,020,025,030,025,,,MLAS3
PATRIMÔNIO / ATIVOS,060,059,059,060,,,MLAS3
PASSIVOS / ATIVOS,040,041,041,040,,,MLAS3
LIQUIDEZ CORRENTE,281,329,251,279,,,MLAS3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,,,MLAS3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,,,MLAS3
P/L,2794,2748,3082,4659,5836,6147,TOTS3
P/RECEITA (PSR),359,449,434,527,663,565,TOTS3
P/VP,378,428,359,406,661,521,TOTS3
DIVIDEND YIELD (DY),"1,49%","1,31%","1,13%","1,08%","0,74%","0,65%",TOTS3
PAYOUT,"40,57%","53,02%","25,83%","45,55%","87,41%","25,71%",TOTS3
MARGEM LÍQUIDA,"12,84%","16,34%","14,07%","11,31%","11,36%","9,19%",TOTS3
MARGEM BRUTA,"69,01%","69,73%","54,69%","68,31%","70,08%","67,41%",TOTS3
MARGEM EBIT,"15,66%","15,58%","16,90%","15,73%","15,16%","14,25%",TOTS3
MARGEM EBITDA,"21,94%","21,75%","23,22%","23,74%","23,00%","18,80%",TOTS3
EV/EBITDA,1587,1923,1757,2036,2938,2753,TOTS3
EV/EBIT,2223,2684,2413,3074,4457,3632,TOTS3
P/EBITDA,1635,2065,1868,2219,2883,3007,TOTS3
P/EBIT,2290,2882,2566,3350,4374,3966,TOTS3
P/ATIVO,207,229,183,173,335,365,TOTS3
P/CAP.GIRO,1006,790,634,792,2174,781,TOTS3
P/ATIVO CIRC LIQ,-317,-410,-351,-385,-744,-842,TOTS3
VPA,801,788,765,706,434,1240,TOTS3
LPA,108,123,089,061,049,105,TOTS3
GIRO ATIVOS,058,051,042,033,050,065,TOTS3
ROE,"13,54%","15,57%","11,64%","8,71%","11,33%","8,47%",TOTS3
ROIC,"11,02%","8,57%","7,88%","6,96%","10,50%","8,71%",TOTS3
ROA,"7,65%","8,66%","5,83%","3,76%","5,73%","5,96%",TOTS3
DÍVIDA LÍQUIDA / EBITDA,-048,-142,-111,-183,054,-254,TOTS3
DÍVIDA LÍQUIDA / EBIT,-067,-198,-152,-276,083,-334,TOTS3
DÍVIDA BRUTA / PATRIMÔNIO,034,037,038,044,012,018,TOTS3
PATRIMÔNIO / ATIVOS,055,053,051,043,051,070,TOTS3
PASSIVOS / ATIVOS,042,043,049,055,049,020,TOTS3
LIQUIDEZ CORRENTE,244,290,253,165,139,569,TOTS3
CAGR RECEITAS 5 ANOS,"17,28%","14,15%","11,23%","8,34%","6,34%","5,18%",TOTS3
CAGR LUCROS 5 ANOS,"26,12%","66,01%","41,19%","19,69%","8,64%","-4,33%",TOTS3
P/L,-840,-3734,-1817,-7472,19970,000,CASH3
P/RECEITA (PSR),072,203,279,1072,1739,000,CASH3
P/VP,082,089,131,416,614,000,CASH3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,19%","0,00%","0,00%",CASH3
PAYOUT,"-1.383,38%","0,00%","0,00%","-14,24%","0,00%","0,00%",CASH3
MARGEM LÍQUIDA,"-8,63%","-5,43%","-15,38%","-14,35%","8,71%","10,19%",CASH3
MARGEM BRUTA,"-27,33%","-26,14%","-38,44%","-25,75%","22,72%","4,61%",CASH3
MARGEM EBIT,"-27,33%","-26,14%","-38,44%","-25,75%","22,72%","12,13%",CASH3
MARGEM EBITDA,"-23,90%","-20,31%","-34,72%","-24,01%","4,45%","0,00%",CASH3
EV/EBITDA,-024,-043,-223,-3653,33119,-,CASH3
EV/EBIT,-021,-033,-202,-3407,6492,002,CASH3
P/EBITDA,-303,-999,-805,-4464,39045,-,CASH3
P/EBIT,-265,-776,-727,-4163,7654,000,CASH3
P/ATIVO,056,071,076,313,578,000,CASH3
P/CAP.GIRO,121,114,228,496,650,000,CASH3
P/ATIVO CIRC LIQ,-155,-291,-236,-1198,-9683,000,CASH3
VPA,367,891,090,078,244,015,CASH3
LPA,-036,-021,-006,-004,008,005,CASH3
GIRO ATIVOS,077,035,027,029,033,198,CASH3
ROE,"-9,73%","-2,39%","-7,20%","-5,57%","3,07%","35,21%",CASH3
ROIC,"-32,51%","-11,62%","-19,74%","-12,46%","5,60%","37,08%",CASH3
ROA,"-7,69%","-2,61%","-4,28%","-3,80%","5,20%","20,23%",CASH3
DÍVIDA LÍQUIDA / EBITDA,280,956,581,810,-5927,-,CASH3
DÍVIDA LÍQUIDA / EBIT,245,743,525,756,-1162,002,CASH3
DÍVIDA BRUTA / PATRIMÔNIO,-,0001090,0000168,0002887,0000591,0009206,CASH3
PATRIMÔNIO / ATIVOS,068,079,058,075,094,057,CASH3
PASSIVOS / ATIVOS,031,020,041,023,005,039,CASH3
LIQUIDEZ CORRENTE,349,563,196,682,1849,179,CASH3
CAGR RECEITAS 5 ANOS,"36,89%","50,67%","72,65%",-%,-%,-%,CASH3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,CASH3
P/L,1075,1396,1455,1759,000,000,BMOB3
P/RECEITA (PSR),089,093,084,271,000,000,BMOB3
P/VP,111,112,118,129,000,000,BMOB3
DIVIDEND YIELD (DY),"3,51%","5,32%","1,41%","0,00%","0,00%","0,00%",BMOB3
PAYOUT,"38,05%","22,30%","20,57%","0,00%","0,00%","0,00%",BMOB3
MARGEM LÍQUIDA,"8,26%","6,67%","5,80%","15,41%","23,53%","28,95%",BMOB3
MARGEM BRUTA,"22,89%","23,74%","21,48%","37,20%","60,00%","50,24%",BMOB3
MARGEM EBIT,"7,66%","7,25%","6,69%","17,36%","33,64%","20,80%",BMOB3
MARGEM EBITDA,"11,97%","11,54%","10,72%","24,23%","42,63%","25,50%",BMOB3
EV/EBITDA,413,471,421,686,-153,003,BMOB3
EV/EBIT,645,749,675,957,-194,003,BMOB3
P/EBITDA,742,807,787,1119,000,000,BMOB3
P/EBIT,1159,1284,1262,1561,000,000,BMOB3
P/ATIVO,085,084,092,092,000,000,BMOB3
P/CAP.GIRO,190,198,201,239,000,000,BMOB3
P/ATIVO CIRC LIQ,-238,-237,-265,-244,000,000,BMOB3
VPA,1329,1245,1217,1184,178,403,BMOB3
LPA,137,100,098,087,046,051,BMOB3
GIRO ATIVOS,096,091,109,034,037,041,BMOB3
ROE,"10,32%","8,05%","8,08%","7,32%","25,87%","12,53%",BMOB3
ROIC,"5,86%","4,60%","4,54%","5,01%","23,41%","2,83%",BMOB3
ROA,"7,93%","6,02%","6,34%","5,21%","8,75%","11,83%",BMOB3
DÍVIDA LÍQUIDA / EBITDA,-329,-336,-366,-433,-153,003,BMOB3
DÍVIDA LÍQUIDA / EBIT,-514,-535,-587,-604,-194,003,BMOB3
DÍVIDA BRUTA / PATRIMÔNIO,-,000,000,000,000,0002849,BMOB3
PATRIMÔNIO / ATIVOS,077,075,078,071,034,094,BMOB3
PASSIVOS / ATIVOS,023,025,022,029,066,005,BMOB3
LIQUIDEZ CORRENTE,328,295,340,258,074,668,BMOB3
CAGR RECEITAS 5 ANOS,"56,90%","56,35%",-%,-%,-%,-%,BMOB3
CAGR LUCROS 5 ANOS,"22,14%","-1,14%",-%,-%,-%,-%,BMOB3
P/L,-2061,10932,2393,4711,13220,000,NGRD3
P/RECEITA (PSR),091,106,128,280,769,000,NGRD3
P/VP,057,063,075,147,360,000,NGRD3
DIVIDEND YIELD (DY),"0,50%","1,18%","1,00%","0,41%","0,00%","0,00%",NGRD3
PAYOUT,"-10,33%","129,35%","23,87%","19,44%","0,00%","0,00%",NGRD3
MARGEM LÍQUIDA,"-4,42%","0,97%","5,35%","5,94%","5,81%","4,18%",NGRD3
MARGEM BRUTA,"61,03%","64,36%","63,86%","66,53%","65,36%","70,09%",NGRD3
MARGEM EBIT,"-3,26%","1,05%","-1,54%","10,37%","16,05%","13,90%",NGRD3
MARGEM EBITDA,"6,13%","9,93%","10,46%","1.568,65%","23,75%","21,69%",NGRD3
EV/EBITDA,667,489,604,020,3490,280,NGRD3
EV/EBIT,-1255,4640,-4104,3056,5164,438,NGRD3
P/EBITDA,1488,1072,1225,018,3237,000,NGRD3
P/EBIT,-2800,10180,-8325,2702,4789,000,NGRD3
P/ATIVO,039,044,048,089,247,000,NGRD3
P/CAP.GIRO,188,157,171,277,489,000,NGRD3
P/ATIVO CIRC LIQ,-062,-073,-088,-175,-675,000,NGRD3
VPA,4788,197,200,205,199,060,NGRD3
LPA,-131,001,006,006,005,004,NGRD3
GIRO ATIVOS,043,041,038,032,032,062,NGRD3
ROE,"-2,75%","0,58%","3,11%","3,12%","2,72%","6,30%",NGRD3
ROIC,"-4,67%","-2,87%","-2,89%","2,97%","3,77%","9,02%",NGRD3
ROA,"-1,95%","0,16%","1,85%","1,89%","1,87%","2,59%",NGRD3
DÍVIDA LÍQUIDA / EBITDA,-821,-583,-621,002,254,280,NGRD3
DÍVIDA LÍQUIDA / EBIT,1545,-5540,4221,354,375,438,NGRD3
DÍVIDA BRUTA / PATRIMÔNIO,004,005,015,019,028,092,NGRD3
PATRIMÔNIO / ATIVOS,069,069,065,061,069,041,NGRD3
PASSIVOS / ATIVOS,031,031,035,039,031,059,NGRD3
LIQUIDEZ CORRENTE,229,339,264,294,495,119,NGRD3
CAGR RECEITAS 5 ANOS,"5,58%",-%,-%,-%,-%,-%,NGRD3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,NGRD3
P/L,-007,-019,-1140,-22700,"1.299,29",,SEQL3
P/RECEITA (PSR),009,020,068,267,915,,SEQL3
P/VP,020,130,244,674,2221,,SEQL3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%",,SEQL3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%",,SEQL3
MARGEM LÍQUIDA,"-124,01%","-110,40%","-5,92%","-1,17%","0,70%",,SEQL3
MARGEM BRUTA,"-6,18%","-11,65%","17,38%","17,52%","21,58%",,SEQL3
MARGEM EBIT,"-111,61%","-94,43%","4,41%","3,16%","4,38%",,SEQL3
MARGEM EBITDA,"-82,93%","-74,15%","12,51%","12,04%","11,37%",,SEQL3
EV/EBITDA,-105,-152,873,2486,8216,,SEQL3
EV/EBIT,-078,-119,2478,9486,21341,,SEQL3
